Bearing_C_d,Bearing_C_D,Bearing_C_C_0,Bearing_C_C,Bearing_C_Name,Bearing_D_d,Bearing_D_D,Bearing_D_C_0,Bearing_D_C,Bearing_D_Name,f_s_D,L_10_D,f_s_C,L_10_C,P_d_0,P_c_0,P_d,P_c
55.0,120.0,262000.0,195000.0,HR 32311 GJ,65.0,140.0,340000.0,267000.0,HR 32313 J,37.032856329477646,75636.57395388422,53.17937047008917,55312.687250844974,9181.03634715761,4926.722480616095,9181.03634715761,7365.2447616356
55.0,120.0,262000.0,195000.0,HR 32311 GJ,70.0,150.0,390000.0,312000.0,HB 32314 J,44.42081366567191,147544.03439142182,50.80947112364805,50230.14368437446,8779.66808386919,5156.518936448019,8779.66808386919,7581.3279786580015
55.0,120.0,262000.0,195000.0,HR 32311 GJ,75.0,160.0,300000.0,253000.0,HB 30315 J,32.50398816742653,62104.02179781318,53.32786908694867,55321.20965207266,9229.63663580955,4913.003359890884,9229.63663580955,7364.904351748681
55.0,120.0,262000.0,195000.0,HR 32311 GJ,75.0,160.0,445000.0,340000.0,HB 32315 J,49.014726301959264,175718.82604802147,52.86969200939393,55294.23539823153,9078.904108502837,4955.580220770865,9078.904108502837,7365.982016830255
55.0,120.0,262000.0,195000.0,HR 32311 GJ,80.0,170.0,330000.0,276000.0,HB 30316 J,35.94365467272831,84474.2966456555,53.17937047008917,55312.687250844974,9181.03634715761,4926.722480616095,9181.03634715761,7365.2447616356
55.0,120.0,262000.0,195000.0,HR 32311 GJ,80.0,170.0,505000.0,385000.0,HB 32316 J,55.978916933259775,271631.0901340665,52.69631204105771,55283.51565063322,9021.25349445543,4971.884935626345,9021.25349445543,7366.41047787603
60.0,125.0,197000.0,151000.0,T 7 FC060,65.0,140.0,340000.0,267000.0,HR 32313 J,36.86350427767929,74489.75375965268,51.74860518859859,69936.45583858433,9223.21430537109,3806.8658910134964,9223.21430537109,5315.76607699979
60.0,125.0,197000.0,151000.0,T 7 FC060,70.0,150.0,390000.0,312000.0,HB 32314 J,44.19210905221389,145027.06299561073,48.93766538556043,61942.480663945666,8825.104942133605,4025.5291797823875,8825.104942133605,5512.903228678951
60.0,125.0,197000.0,151000.0,T 7 FC060,75.0,160.0,300000.0,253000.0,HB 30315 J,32.35761205179051,61176.660686745294,51.980759521571834,70228.02360139936,9271.388739064862,3789.863822944828,9271.388739064862,5309.135546479366
60.0,125.0,197000.0,151000.0,T 7 FC060,75.0,160.0,445000.0,340000.0,HB 32315 J,48.783402224757246,172969.67579293315,51.266969984329094,69327.77520548669,9121.955003256528,3842.6300610357407,9121.955003256528,5329.724596358656
